Name,Address,ENS,Status,Confirmed
Graph Council on Eth Mainnet,eth:0x48301Fe520f72994d32eAd72E2B6A8447873CF50,,,No
Graph Council on Arbitrum,arb1:0x8C6de8F8D562f3382417340A6994601eE08D3809,,,No
Brandon,0x37BC95e38235Ec42F185E945922a4E2C9795B391,brandonramirez.eth,,Yes
Jim,0x4530aFEaDe76579f4D4E6fF9e079520B7e7ebA9A,jimcousins.eth,removed,Yes
Santiago,0xd201C95461F69A031Cdc317f453ff190890722aA,admin.palla.eth,,Yes
Gary,0x17118dB8DdD04eFA661ce81ff181cf2807Ee2C21,,To be removed,Yes
Yondon,"0x38FA68D1C06BD272893908a74E6BcC67E28d4Da8
",,To be removed,Yes
Fubhy,0xB02ce52E8B7344d306b60CB1E0d4Db1EF86b80b0,,,Yes
Spencer,0xE0FADeFDb233C32C67a1e428951aEfE8dF6ce639,,,Yes
JJ,0xFe46c8B3a09993D35702a0790B00cAA2bb474dc2,,removed,Yes
Yaniv,0xedF9B218c8a98f96324fad13140e46AEaBaF9C22,,removed,Yes
Michael,0x65DCD62932fEf5af25AdA91F0F24658e94e259c5,,removed,Yes
Alexandre,0xc23eFD8e0AB3Ca6a3fF60618fff8611888BF54e6,,,Yes
Mable,0x7c1b137dCBddD9DD6fF8D499F046Ba6f0FA0297d,,To be removed,Yes
Chris,0x7EAbE4F636B937628A7Fe503bD7F06772C047FEe,chris.eth,,Yes
Julien,0x3252567A834c05B756f5562b13158e398e14ad8e,,,Yes
Adam,0x68AfAbC57e048b29E0741816167777c148a02b57,,,No
Arnaud,,,To be added,No
